Warburg 04 b;Industrie
Warburg 04 c;Industrie
Warburg 04 e;Industrie,Silo
Warburg 07;Empfangsgebäude,FassadeZiegel,DachGrau
Warburg 08;Industrie,Bahnmeisterei,FassadeBeige,DachBraun
Warburg 09 W02;Schuppen,Garage
Warburg 09 W03;Schuppen,Industrie,FassadeZiegel,FassadeFachwerk
Warburg 09 W04;Industrie,Betriebswerk
Warburg 10;Güterschuppen,Industrie
Aufsicht;Bahnbude,Schuppen,FassadeBeige,dachGrau
Warburg 12;Industrie,Raiffeisen
Warburg 13;Brücke
Warburg 16;Lokschuppen,Betriebswerk
Warburg 17;Lokschuppen,Betriebswerk,Industrie,FassadeZiegel
Warburg 18;Büro,Verwaltung,FassadeWeiss,DachRot
Warburg 19;Stellwerk,Industrie,FassadeZiegel
Warburg 20 a;Industrie,Schornstein
Warburg 20 b;Industrie,FassadeZiegel
Warburg 20 c;Industrie,FassadeZiegel
Warburg 20 d;Industrie,FassadeZiegel
Warburg 21;Stellwerk
Werk-Sch-1;Industrie,FassadeZiegel
Wh-1Etg-1-2;Einfamilienhaus,FassadeGrau,DachRot,MitGarage
