Goe01 Bstg 4 7 Dach 1 mLSuAbschluss 1tlg;Bahnsteig,Bahnsteigdach
Goe01 Bstg 4 7 Dach 1 mLSuAbschluss rechts 1tlg;Bahnsteig,Bahnsteigdach
Goe01 Bstg 4 7 Nieder;Bahnsteig,Bahnsteigdach
Goe01 Bstg 4 7 Stuetze 1;Bahnsteig,Bahnsteigdach
Goe01 Bstg 4 7 Stuetze 2;Bahnsteig,Bahnsteigdach
Goe01 Bstg 4 7 Teil 1;Bahnsteig,Bahnsteigdach
Goe01 Bstg 4 7 Teil 2;Bahnsteig,Bahnsteigdach
Goe01 Bstg Endtreppe;Treppe
Goe01 EG;Empfangsgebäude
Goe01 SFS-Bstg-Abgang-10-11;Bahnsteig
Goe01 SFS-Bstg-Stuetze-oFuss;Bahnsteig,Bahnsteigdach
Goe01 SFS-Bstg-Stuetze;Bahnsteig,Bahnsteigdach
Goe01 SFS-Bstg-Stuetze IPB200 11m0;Bahnsteig,Bahnsteigdach,Fahrleitung
Goe01 SFS-Bstg-Stuetze IPB200 9m0;Bahnsteig,Bahnsteigdach,Fahrleitung
Goe01 SFS-Bstg-Stuetze IPB300 11m0;Bahnsteig,Bahnsteigdach,Fahrleitung
Goe02 Ringlokschuppen;Lokschuppen
Goe02 Stellwerk;Stellwerk
Goe03 DB Netz;Industrie,Büro,Verwaltung
Goe04 Parkhaus;Parkhaus
Goe05 Hochhaus2 Haus1;Hochhaus,FassadeGrau
Goe05 Hochhaus2 Haus2;Hochhaus,FassadeGrau
Goe05 Hochhaus2 Haus3;Mehrfamilienhaus,Hochhaus,FassadeBraun
Goe05 Hochhaus2 Haus4;Mehrfamilienhaus,Hochhaus,FassadeGelb,FassadeGrau
Goe05 Hochhaus2 Haus5;Mehrfamilienhaus,Hochhaus,FassadeWeiss
Goe06 Post;Industrie,Stadthaus,Büro,Verwaltung
Goe07 Umspannwerk;Industrie,Umspannwerk
Goe08 Heizkraftwerk;Industrie,Kraftwerk
Goe09 Lokhalle SegmentA;Industrie
Goe09 Lokhalle SegmentB;Industrie
Goe10 Mediencenter;Stadthaus,Industrie,FassadeGelb,Büro
Goe11 Arbeitsagentur;Büro,Verwaltung,FassadeZiegel
Goe12 IC Hotel;Stadthaus,Hotel,Hochhaus
Goe13 Bhf 1de;Stadthaus,Gewerbe,Büro,Verwaltung
Goe14 Groner Landstr 17a;Einfamilienhaus,FassadeGrau,DachBraun
Goe14 Groner Landstr 19;Mehrfamilienhaus,FassadeGrau,DachBraun
Goe16 Groner Landstr 23a;Mehrfamilienhaus,Gewerbe,FassadeGrau,Flachdach
Goe16 Groner Landstr 23b;Industrie
Goe16 Groner Landstr 23c;Industrie
Goe16 Groner Landstr 23d;Einkaufszentrum,Stadthaus
Goe16 Groner Landstr 23e;Industrie,Spedition,Güterschuppen
Goe16 Groner Landstr 23f;Stadthaus,Mehrfamilienhaus,Gewerbe,DachRot,FassadeWeiss
Goe17 Groner Landstr 29a;Mehrfamilienhaus,Stadthaus,Gewerbe,FassadeGelb,DachBraun
Goe17 Groner Landstr 29b;Einfamilienhaus,Gewerbe,FassadeGelb,FassadeSchiefer,DachBraun
Goe19 Groner Landstr 31;Mehrfamilienhaus,FassadeZiegel,DachBraun,Gewerbe
Goe20 Groner Landstr 1;Schloss,Verwaltung,Büro,Einfamilienhaus,FassadeGrau,DachBraun
Goe21 Groner Landstr 3;Stadthaus,Gewerbe,DachBraun,DachRot
Goe22 Groner Landstr 5;Mehrfamilienhaus,Gewerbe,FassadeGrün,FassadeZiegel,DachBraun
Goe22 Groner Landstr 7;Mehrfamilienhaus,FassadeGelb,FassadeWeiss,DachBraun
Goe23 Fahrradcenter;Stadthaus
Goe24 Arkaden;Stadthaus,Gewerbe,Büro,Verwaltung
Goe24 Arkaden Eckhaus;Stadthaus,Gewerbe,Reihenhaus
Goe25 Bus Bf 1;Schrebergarten
Goe25 Bus Bf 2;Dach,Schrebergarten
Goe25 Kundencenter;Büro
Goe27 Uni;Schloss
Goe28 Finanzamt;Büro,Verwaltung
Goe29 Hochhaus;Hochhaus,FassadeGrau
Goe30 Pavillon;Industrie,Stadthaus
Goe31 Pfeiler;Brücke,Pfeiler
Goe32 Leinebruecke;Brücke
Goe34 Bf Allee 6;Büro,Verwaltung,FassadeWeiss,DachSchwarz
Goe35 Umspanner;Umspannwerk,Trafostation
Goe36 Aufsicht;Bahnsteig,Schuppen
Goe36 Infokasten;Bahnsteig
Goe36 Lastenaufzug;Bahnsteig,Aufzug
Goe36 Mission;Bahnsteig,Schuppen
Goe36 Personen Aufzug;Aufzug,Bahnsteig
Goe36 Suess Automat;Bahnsteig,Automat
Goe37 Aufsicht;Bahnsteig,Schuppen
Goe37 Infokasten;Bahnsteig
Goe37 Lastenaufzug;Bahnsteig,Aufzug
Goe37 Personen Aufzug;Bahnsteig,Aufzug
Goe37 Sitzgruppe 4tlg;Bahnsteig
Goe38 Drink Snack;Bahnsteig,Automat
Goe38 Infotafel 1;Bahnsteig
Goe38 Infotafel 2;Bahnsteig
Goe38 Sitzgruppe 1;Bahnsteig
Goe38 Suess Automat;Bahnsteig,Automat
Goe38 Warteraum 1;Bahnsteig
KaRbf09 Wagenwerk;Lokschuppen
KaRbf 08 Bergmeister Nordost;Schuppen,Schrebergarten
Kassel AW Halle1;Lokschuppen,Industrie
Kassel AW Halle2;Lokschuppen,Industrie
Kassel AW Kesselhaus;Lokschuppen,Industrie
Kassel AW Wasserturm;Wasserturm
Kassel Rbf 03;Stellwerk,Behelfsstellwerk
Kassel Rbf 04;Stellwerk
Kassel Rbf 05;Stellwerk
Kassel Rbf 06;Einfamilienhaus,Gewerbe,FassadeZiegel,DachBraun
Kassel Rbf 35 BM 1;Industrie,FassadeGrau,DachGrau,Werkstatt
Kassel Rbf 35 BM 2;Einfamilienhaus,Industrie,FassadeZiegel,DachBraun
Kassel Rbf 35 BM 3;Industrie,FassadeGrau,DachGrau,Werkstatt
Kassel Rbf 35 BM 4;Industrie,FassadeWeiss,FassadeGrau,DachBraun
Kassel Rbf 36;Stellwerk,Behelfsstellwerk
Kassel Rbf 37 GS;Güterschuppen,Industrie,FassadeZiegel,DachGrau
Kassel Stw Krf;Stellwerk
Rbf 30 Halle 1;Industrie
Rbf 30 Halle 2;Industrie
Rbf 30 Halle 3;Industrie
Rbf 30 Mercedes Kassel;Industrie
Rbf 31 WHalle;Industrie
Spundwand Kassel;Stützmauer
Bahnsen;Empfangsgebäude,FassadeZiegel,DachReet
Harblek 31;Bauernhof,DachGrün,DachSchwarz,FassadeGrau,FassadeZiegel
BW Bue km154,712;Bauernhof,Schrankenposten,FassadeGrau,DachSchwarz
Vosshoeft Stall;Bauernhof,Industrie
StellwerkLippoldshausen;Stellwerk,FassadeZiegel,DachSchwarz
WerraTBPfeiler BAB;Brücke,Pfeiler
WerraTBPfeiler SFS;Brücke,Pfeiler
WerraTBWiderlager BAB-nord;Brücke
WerraTBWiderlager BAB-sued;Brücke
WerraTBWiderlager SFS-nord;Brücke
WerraTBWiderlager SFS-sued;Brücke
FgBRK-AmWeddel;Brücke
FgBRK-Bahnhof;Brücke
Ihringshausen 09 Halle;Industrie
Ihringshausen 10 Halle;Industrie
Ihringshausen 11 Halle;Industrie
Ihringshausen 50 Klaerbecken 1;Kläranlage
Ihringshausen 50 Klaerbecken 2;Bauernhof,Kläranlage
Ihringshausen 50 Klaerbecken 3;Bauernhof,Kläranlage
Ihringshausen 50 Klaerbecken 4;Bauernhof,Kläranlage
Ihringshausen 50 Klaerbecken 5;Bauernhof,Kläranlage
Ihringshausen 50 WHalle 1;Industrie,FassadeWeiss,DachRot
Ihringshausen 50 WHalle 2;Industrie,FassadeWeiss,DachRot
Ihringshausen 51 FW Gebaeude 1;Industrie,Büro,Verwaltung,Feuerwehr,Flachdach
Ihringshausen 51 FW Gebaeude 2;Industrie,Feuerwehr
Ihringshausen 51 FW Gebaeude 3;Industrie
Ihringshausen 52 Gewerbe 1;Industrie
Ihringshausen 52 Gewerbe 2;Industrie,Werkstatt
Ihringshausen 52 Gewerbe 3;Industrie
Ihringshausen 52 Gewerbe 4;Supermarkt
Ihringshausen 52 Gewerbe 5;Industrie,Scheune,FassadeZiegel
Ihringshausen 53 Edeka;Supermarkt
Ihringshausen 54 Gasthof;Mehrfamilienhaus,Gasthaus,FassadeWeiss,DachSchwarz
Ihringshausen 55 Unterstand;Bahnsteig
Ihringshausen 56 GB 1;Industrie,FassadeWeiss,DachSchwarz
Ihringshausen 56 TH 40 20;Gewächshaus,Treibhaus
Ihringshausen 56 TH 40 60;Gewächshaus,Treibhaus
Ihringshausen 57 WHaus 1;Mehrfamilienhaus,FassadeZiegel,DachBraun,DachRot
Ihringshausen 57 WHaus 2;Einfamilienhaus,fassadeZiegel,DachBraun,DachRot
KrBw nord-IBP200;Fahrleitung
KrBw nord-IBP200mFuss;Fahrleitung
KrBw nord-IBP300mGewicht-l;Fahrleitung
KrBw nord-IBP300mGewicht;Fahrleitung
KragenhofSFS Betonpfeiler;Brücke,Pfeiler
KragenhofSFS Fundament-sued;Brücke,Widerlager
KragenhofSFS Fundament;Brücke,Widerlager
KragenhofSFS Rammschutz;Brücke
KragenhofSFS Unterbau 60m;Brücke
KragenhofSFS Unterbau 80m;Brücke
KragenhofSKRbruecke;Brücke
Pfeiler;Brücke,Pfeiler
Schallschutz 1m2;Lärmschutz
Schallschutz 1m5;Lärmschutz
Schallschutz 4m;Lärmschutz
Schallschutz Pfeiler;Lärmschutz
Signalkorb;Signal
StellwerkIf;Stellwerk
Aufgang;Treppe,Bahnsteig
Bruecke-abs;Brücke
KrBw-Sued-Quertraverse;Brücke,Beton
Laermschutz;Lärmschutz
Mauer-rot 2m5;Lärmschutz
Mauer-rot 5m0;Lärmschutz
Mauer-rot Bucht;Lärmschutz
Niedervellmar 50 Unterfuehrung;Durchlass
Wartehaus;Bahnsteig
WH 50 Atrium;Stadthaus,Hochhaus,Büro,Verwaltung
WH 51 GH;Stadthaus,FassadeGelb,DachSchwarz
WH 51 GH 2;Stadthaus,FassadeGelb,DachSchwarz
WH 52 Gelbziegelhaus;Büro,Verwaltung,FassadeGelb,FassadeBeige,DachGrau
WH 53 IC Hotel;Stadthaus
WH 54 Wf Hotel;Stadthaus
WH 55 Halle 1;Industrie
WH 55 Halle 2;Industrie
WH 55 Rundhalle 1;Industrie,Rundhalle
WH 55 Rundhalle 2;Industrie,Rundhalle
WH 56 Spielothek;Stadthaus
WH 57 Gewerbe 1;Industrie
WH 58 WHaus 1L 2Etg;Mehrfamilienhaus,Reihenhaus,FassadeGrau,DachGrau,MitBalkon
WH 58 WHaus 1L 3Etg;Mehrfamilienhaus,Reihenhaus,FassadeGrau,DachGrau,MitBalkon
WH 58 WHaus 1R 2Etg;Mehrfamilienhaus,Reihenhaus,FassadeGrau,DachGrau,FassadeWeiss,MitBalkon
WH 58 WHaus 1R 3Etg;Mehrfamilienhaus,Reihenhaus,FassadeGrau,DachGrau,FassadeWeiss
WH 58 WHaus 2L 3Etg;Mehrfamilienhaus,Reihenhaus,FassadeGrau,DachGrau,MitBalkon
WH 58 WHaus 2R 3Etg;Mehrfamilienhaus,Reihenhaus,FassadeGrau,DachGrau,MitBalkon
WH 58 WHaus 2 2Etg;Mehrfamilienhaus,FassadeGrau,DachGrau,FassadeBeige,MitBalkon
WH 60 DB Zentrale;Büro,Verwaltung,Stadthaus
WH 61 KuS;Büro,Verwaltung
WH 62 MD 1;Büro,Verwaltung
WH 63 HC Buero 1;Industrie,FassadeWeiss
WH 63 HC Buero 2;Industrie,FassadeWeiss,DachGrau
WH 63 HC Halle 1;Industrie,Unterstand
WH 63 HC Werkstatt;Industrie
WH 64 Halle 1;Industrie
WH 64 Halle 2;Industrie,Werkstatt
WH 65 Lokschuppen;Lokschuppen
AHM Aufenthaltsgebaeude Bstg 2;Bahnsteig,Schuppen,FassadeZiegel,DachSchwarz
AHM Aufenthaltsgebaeude Bstg 3;Bahnsteig,Schuppen,FassadeZiegel,DachSchwarz
AHM Aufsicht;Bahnsteig,Industrie,Schuppen
AHM Aufzug;Aufzug
AHM BWSued Dienstgeb;Büro,Verwaltung,FassadeZiegel,DachSchwarz
AHM BWSued Kamin;Schornstein
AHM BWSued Uebernachtung;Reihenhaus,FassadeZiegel,DachSchwarz
AHM Bahnsteigabgang Bstg1;Bahnsteig
AHM Bahnsteigabgang Bstg2;Bahnsteig
AHM Bahnsteigabgang Bstg3;Bahnsteig
AHM Behoerdenhaus;Büro,Verwaltung,Stadthaus,FassadeGrau,FassadeZiegel,DachGrau
AHM Berufsschule;Büro,Verwaltung,Schule,FassadeBeige,DachGrau
AHM Deichstr1;Einfamilienhaus,FassadeZiegel,DachSchwarz
AHM Deichstr2;Einfamilienhaus,FassadeZiegel,DachBraun
AHM Deichstr4;Eckhaus,Mehrfamilienhaus,FassadeZiegel,DachSchwarz
AHM Deichstr6;Eckhaus,FassadeZiegel,DachSchwarz
AHM Deichstr 3;Einfamilienhaus,FassadeZiegel,DachGrau
AHM Deichstr 7-8;Mehrfamilienhaus,FassadeZiegel,DachGrau
AHM EG;Empfangsgebäude
AHM ESTW Hf;Stellwerk
AHM Geschenke1;Stadthaus,Gewerbe,FassadeBeige,DachSchwarz
AHM Gueterschuppen;Bahnmeisterei,Schuppen
AHM H-A-Strasse Wblock;Mehrfamilienhaus,Stadthaus,FassadeBraun,DachSchwarz
AHM Hafen Tank 25-3m;Tank,Tankanlage
AHM Innenhafen Compass;Reihenhaus,Gewerbe,FassadeWeiss,DachBraun
AHM Innenhafen Eiscafe1;Reihenhaus,Gewerbe,FassadeWeiss,DachBraun
AHM Innenhafen Eiscafe2;Reihenhaus,Gewerbe,FassadeGelb,DachSchwarz
AHM Innenhafen Geschenke2 Kebbel;Reihenhaus,FassadeBlau,FassadeRot,DachSchwarz
AHM Innenhafen Speicher1;Industrie
AHM Kleine Str1;Mehrfamilienhaus,FassadeGrau,DachSchwarz
AHM LKW-Waage;Industrie,Gleiswaage
AHM Langenharmstr1;Mehrfamilienhaus,FassadeBlau,DachGrau
AHM Loof;Stadthaus,Gewerbe,Industrie,FassadeGrau,DachGrau
AHM Nationalparkhaus;Gewerbe,FassadeBraun,DachSchwarz
AHM Parkhaus;Parkhaus
AHM Post;Stadthaus,Post
AHM Ringlokschuppen Sued;Lokschuppen
AHM Sielzug;FassadeZiegel,DachSchwarz
AHM Stw Hn;Stellwerk
AHM Stw Hus;Stellwerk
AHM Werkstatt;Bahnmeisterei,Industrie
AHM Zollamt;Büro,Verwaltung,FassadeZiegel,DachRot
Ausleger Fahrtanzeiger Bstg2;Signal
Block Tunnelweg gr;Mehrfamilienhaus,FassadeZiegel,DachBraun
Dach Bstg2;Bahnsteig,Bodenheim
Dach Bstg3;Bahnsteig,Bodenheim
Dach Gleis1;Bahnsteig,Bodenheim
Duengerhalle 2008;Industrie
EWH 8x5 Friesenh 1Et Klinger 01;Einfamilienhaus,FassadeZiegel,DachSchwarz
EWH 8x5 Friesenh 1Et Klinger 02;Einfamilienhaus,FassadeZiegel,DachBraun
EWH 8x5 Friesenh 1Et Klinger 03;Einfamilienhaus,FassadeWeiss,DachSchwarz
Garage 3x6m 01;Garage
Garage 3x6m 02;Garage
Garage 3x6m 03;Garage
Garage 3x6m 04;Garage
Haus 10x6 1Et Klinker 01;Einfamilienhaus,FassadeZiegel,DachSchwarz,Bungalow
Haus 10x6 1Et Putz ws 01;Einfamilienhaus,FassadeWeiss,DachSchwarz,Bungalow
Haus 10x6 2Et Klinker 01;Zweifamilienhaus,FassadeZiegel,DachSchwarz
Haus 7x8 01;Einfamilienhaus,FassadeZiegel,DachBraun
Haus 7x8 02;Einfamilienhaus,FassadeZiegel,DachGrau
Haus 7x8 03;Zweifamilienhaus,FassadeZiegel,DachGrau
Haus 7x8 04;Zweifamilienhaus,FassadeBeige,DachSchwarz
Haus 7x8 05;Zweifamilienhaus,FassadeWeiss,DachSchwarz
Haus 7x8 06;Zweifamilienhaus,FassadeZiegel,DachGrau
Husum Nord EG;Empfangsgebäude
Husum Speicher;Industrie
Innehafen Fischerhaus 1;Einfamilienhaus,Reihenhaus,FassadeZiegel,DachSchwarz
Klappbruecke Bahn;Brücke
Klappbruecke Bahn Bruecke;Brücke
Klappbruecke Bahn Contergewichttraeger;Brücke
Klappbruecke Bahn Daempfer;Brücke
Klappbruecke Bahn Traeger;Brücke
Klappbruecke Sbr Bruecke;Brücke
Landesbetrieb;Hochhaus,Büro,Verwaltung
Nord Silo1;Industrie
Po156;Schrankenposten
Reihenhaus 01a;Reihenhaus,FassadeZiegel,DachSchwarz
Reihenhaus 01e;Reihenhaus,FassadeZiegel,DachSchwarz
Reihenhaus 01m;Reihenhaus,FassadeZiegel,DachSchwarz
Reihenhaus 02a;Reihenhaus,FassadeZiegel,DachBraun
Reihenhaus 02e;Reihenhaus,FassadeZiegel,DachSchwarz
Reihenhaus 02m;Reihenhaus,FassadeZiegel,DachBraun
SBR Beslerstr;Brücke
SBR L30;Brücke
Saatenhalle;Industrie
Schlachthof;Industrie
Schlachthof Containerstand;Industrie,Schuppen
Schlachthof Reinigung;Industrie
SchuppenStadtHusum;Industrie
Silo1-2;Industrie
Silo1963;Industrie
Silo1980;Industrie
Silo3-7;Industrie
Silo5-7;Industrie
Stegrohr;Industrie
THE Husum;Industrie
Treppe 76cm 50cm;Treppe
Treppe 76cm 50cm Gelaender;Treppe
WHA Westerkampweg;Hochhaus,FassadeGelb
WHA Westerkampweg 8E;Hochhaus,FassadeGelb,FassadeOrange
WHS Soltbargen 4E;Hochhaus,FassadeGelb
Hahn;Wetterhahn
Wennemen 01;Einfamilienhaus,FassadeFachwerk,DachBraun,Schrankenposten
Wennemen 01 P214;Schrankenposten
Wennemen 05;Industrie
Wennemen 10 Schieferhaus;Zweifamilienhaus,FassadeSchiefer,DachSchwarz
Wennemen 12 AmSportplatz;Einfamilienhaus,Gewerbe,FassadeWeiss,DachSchwarz
Wennemen 13 WHaus 3;Einfamilienhaus,MitGarage,FassadeWeiss,DachSchwarz
Wennemen 13 WHaus 5;Einfamilienhaus,FassadeWeiss,FassadeSchiefer,DachSchwarz
Wennemen 14 Halle 1;Industrie
Wennemen 14 Halle 2;Industrie
Wennemen 14 Halle 3;Industrie
Wennemen 14 WHaus;Einfamilienhaus,FassadeWeiss,DachSchwarz
Wennemen 15 Sportplatz;Sport,Sportplatz
Wennemen 16 Schuetzenhalle;Schützenhalle
Wennemen 17 WHaus 1;Mehrfamilienhaus,FassadeWeiss,DachSchwarz
Wennemen 17 WHaus 11;Einfamilienhaus,FassadeWeiss,DachSchwarz
Wennemen 17 WHaus 15;Einfamilienhaus,FassadeWeiss,DachSchwarz
Wennemen 17 WHaus 2;Zweifamilienhaus,FassadeBeige,DachGrau
Wennemen 18 Sparkasse;Sparkasse,Stadthaus
Wennemen 18 WHaus 1;Mehrfamilienhaus,FassadeBeige,DachBraun
Wennemen 18 WHaus 19;Mehrfamilienhaus,MitGarage,FassadeWeiss,DachSchwarz,MitBalkon
Wennemen 18 WHaus 25;Einfamilienhaus,Gewerbe,FassadeBeige,DachBraun
Wennemen 18 WHaus 27;Mehrfamilienhaus,Gasthaus,FassadeWeiss,DachBraun,DachSchwarz,Doppelhaus
Wennemen 18 WHaus 31;Einfamilienhaus,FassadeWeiss,FassadeFachwerk,DachRot
Wennemen 18 WHaus 37;Mehrfamilienhaus,MitGarage,FassadeWeiss,DachSchwarz
Wennemen 18 WHaus 39;Zweifamilienhaus,FassadeSchiefer,DachSchwarz
Wennemen 18 WHaus 41;Mehrfamilienhaus,FassadeWeiss,DachSchwarz
Wennemen 18 WHaus 43;Einfamilienhaus,FassadeBeige,DachGrau
Wennemen 18 WHaus 45;Zweifamilienhaus,FassadeBeige,DachSchwarz
Wennemen 18 WHaus 47;Zweifamilienhaus,FassadeWeiss,DachSchwarz
Wennemen 18 WHaus 49;Einfamilienhaus,FassadeBeige,DachBraun
Wennemen 18 WHaus 51;Einfamilienhaus,FassadeGelb,DachGrau,DachSchwarz
Wennemen 18 WHaus 53;Einfamilienhaus,FassadeWeiss,DachSchwarz
Wennemen 18 WHaus 55;Einfamilienhaus,FassadeGelb,DachSchwarz
Wennemen 18 WHaus 57;Zweifamilienhaus,FassadeSchiefer,DachSchwarz
Wennemen 18 WHaus 61;Mehrfamilienhaus,FassadeGrau,DachGrau
Wennemen 18 WHaus 63;Zweifamilienhaus,FassadeWeiss,DachBraun
Wennemen 18 WHaus 65;Einfamilienhaus,FassadeBeige,DachSchwarz,MitGarage
Wennemen 18 WHaus 67;Einfamilienhaus,FassadeWeiss,DachBraun
Wennemen 18 WHaus 71;Mehrfamilienhaus,FassadeWeiss,DachRot
Wennemen 18 WHaus 73;Einfamilienhaus,FassadeWeiss,DachSchwarz
Wennemen 18 WHaus 75;Mehrfamilienhaus,FassadeGelb,FassadeVerziert,DachSchwarz,Stadthaus
Wennemen 18 WHaus 79;Mehrfamilienhaus,FassadeWeiss,DachSchwarz,MitGarten
Wennemen 18 WHaus 81;Einfamilienhaus,FassadeWeiss,DachSchwarz,MitGarage
Wennemen 18 WHaus 81b;Einfamilienhaus,FassadeWeiss,DachSchwarz,DachBraun
Wennemen 19 Stw Wo;Stellwerk
Wennemen 20 Schuppen;Industrie
Wennemen 20 WHaus;Einfamilienhaus,FassadeWeiss,DachBraun
Wennemen 21 WHaus 1;Einfamilienhaus,FassadeWeiss,DachSchwarz
Wennemen 21 WHaus 3;Einfamilienhaus,FassadeWeiss,DachBraun
Wennemen 22 Feuerwehr;Feuerwehr
Wennemen 22 WHaus 1;Mehrfamilienhaus,FassadeWeiss,DachSchwarz,Flachdach
Wennemen 23 Kirche;Kirche
Wennemen 24 Rampe;Laderampe
Wennemen 25 Bockum Nord;Bauernhof,DachSchwarz
Wennemen 25 Bockum Sued;Bauernhof,DachSchwarz
Wennemen 25 WHaus 1;Schloss,FassadeGrau,DachSchwarz
Wennemen 25 WHaus 2;Mehrfamilienhaus,Bauernhof,FassadeWeiss,DachGrau
Wennemen 26 WHaus 11;Einfamilienhaus,FassadeWeiss,DachSchwarz,DachGrau
Wennemen 26 WHaus 1a;Einfamilienhaus,FassadeGrau,DachSchwarz,DachGrau
Wennemen 26 WHaus 1b;Einfamilienhaus,FassadeGrau,DachSchwarz
Wennemen 26 WHaus 2;Einfamilienhaus,Bungalow,MitGarage,FassadeWeiss,DachSchwarz
Wennemen 26 WHaus 4;Einfamilienhaus,FassadeWeiss,DachSchwarz,MitGarage
Wennemen 26 WHaus 8;Einfamilienhaus,FassadeWeiss,DachSchwarz,MitGarage
Wennemen 30 GA;Güterschuppen,Güterabfertigung
Wennemen Obergrabenbruecke;Brücke,Stahlbrücke
Wennemen Ruhrbruecke;Brücke
AWI 00 Baum01 Bb;Baum,Pflanze
Freienohl 06 EG;Empfangsgebäude,FassadeSchiefer,DachSchwarz
Freienohl 07 WW;Industrie,Wasserkraftwerk
Freienohl 08 GA;Industrie,Güterschuppen
Freienohl 09 SPW 1;Stauwehr
Freienohl 09 SPW 2;Stauwehr
Freienohl 10 Ruhrbruecke;Brücke
Freienohl 11 FwB;Brücke
Freienohl 11 WH;Schrankenposten,Bahnbude
Freienohl 12 Kirche;Kirche
Freienohl 13 Stw Fo;Stellwerk
Freienohl 14 GH Stracke;Mehrfamilienhaus,Gewerbe,FassadeBeige,DachBraun
Freienohl 14 GHaus 1;Mehrfamilienhaus,Gewerbe,FassadeWeiss,DachSchwarz
Freienohl 14 GHaus 2;Gewerbe,FassadeBeige,DachBraun
Freienohl 14 Koester;Mehrfamilienhaus,Gewerbe,FassadeWeiss,DachGrau,DachSchwarz
Freienohl 14 Lager;Industrie,FassadeWeiss,DachGrau
Freienohl 14 SP Peck;Bauernhof,Gewerbe,FassadeFachwerk,DachRot
Freienohl 14 Saegewerk 1;Industrie,Sägewerk,Schuppen
Freienohl 14 Saegewerk 2;Industrie,Sägewerk
Freienohl 14 Saegewerk 3;Industrie,Scheune
Freienohl 14 Saegewerk 4;Industrie,Sägewerk
Freienohl 14 WH 2 WK 2;Mehrfamilienhaus,FassadeWeiss,DachSchwarz,MitGarage
Freienohl 14 WH Stracke;Einfamilienhaus,FassadeBeige,DachBraun,Gewerbe
Freienohl 14 WHaus 1;Mehrfamilienhaus,FassadeBeige,DachGrau,MitGarage
Freienohl 14 WHaus 2;Mehrfamilienhaus,FassadeWeiss,DachSchwarz,MitGarage
Freienohl 14 WHaus 3;Ruine
Freienohl 14 WHaus 4;Zweifamilienhaus,FassadeWeiss,FassadeSchiefer,DachSchwarz
Freienohl 14 WHaus 4a;Einfamilienhaus,FassadeWeiss,DachGrau
Freienohl 14 WHaus 4b;Verwaltung,Büro,FassadeWeiss,DachRot
Freienohl 14 WHaus 5;Zweifamilienhaus,FassadeWeiss,DachSchwarz
Freienohl 14 WHaus 6;Einfamilienhaus,FassadeBeige,DachSchwarz
Freienohl 14 WHaus 7;Einfamilienhaus,FassadeWeiss,DachGrau,DachSchwarz,Walmdach
Freienohl 14 WK 2;Garage
Freienohl 15 Feldscheune;Bauernhof,Scheune,Stall
Freienohl 16 Verwaltung 1;Industrie
Freienohl 16 Verwaltung 2;Industrie
Freienohl 16 Verwaltung 3;Industrie
Freienohl 16 WHalle 1;Industrie
Freienohl 16 WHalle 2;Industrie
Freienohl 17 WHalle;Industrie
Freienohl 18 Noeke;Industrie
Freienohl 19 WHaus 1;Industrie,Büro,Verwaltung
Freienohl 21 GHaus Koester;Gasthaus,FassadeWeiss,DachGrau
Freienohl 21 Garagen;Garage
Freienohl 22 Autohaus;Industrie
Ruhrbruecke Freienohl;Brücke
Tunnel FreienohlOst;Tunnel
Tunnel FreienohlWest;Tunnel
Vsig-Bahnsteigmast;Signal
AHM AH Frima 1;Büro,Verwaltung,FassadeZiegel,DachGrau
AHM BASA;FassadeZiegel,Industrie,Bahnmeisterei
AHM Berufsschule Hintergeb;Büro,Verwaltung,Schule
AHM Deichstr 11;Industrie,FassadeWeiss,DachGrau
AHM Druckerei;Stadthaus,Büro,Verwaltung,FassadeRot,DachSchwarz
AHM EG alt;Empfangsgebäude,Ruine
AHM Loof Lagerhalle;Industrie
AHM Loof Steaks;Gasthaus
AHM Poggenburgstr 4-10;Mehrfamilienhaus,FassadeZiegel,DachSchwarz,DachGrau
AHM Rathaus;Stadthaus,Büro,Verwaltung,FassadeZiegel
AHM Schuetzenheim;Gasthaus,FassadeGelb,DachGrau
AHM Schuppen Verlag;Industrie,FassadeBeige
AHM Trafohaus Deichstr;Trafostation
AHM WA Gaswerk 54-58;Stadthaus,Mehrfamilienhaus,FassadeZiegel,MitBalkon
AHM WA Gaswerk 62;Stadthaus,Mehrfamilienhaus,FassadeZiegel,MitBalkon
AHM Wohnhaus;Stadthaus,Mehrfamilienhaus,FassadeZiegel
Aussenhafen Fischrestaurant;Restaurant,Gasthaus
Betonsilo;Industrie,Betonwerk
Deichkoogstr 3;Einfamilienhaus,FassadeGrün,DachGrau
Flachdachhaus 01;Bungalow,DachSchwarz
Flachdachhaus 02;Bungalow,FassadeWeiss,DachSchwarz
Lagerhalle gruen;Industrie,FassadeGrün
Lund BWH;Einfamilienhaus,FassadeZiegel,DachRot
AEBR Stw Eif;Stellwerk
AFD Blechhalle;Schuppen
AFD EG alt;Empfangsgebäude,Industrie,FassadeZiegel
AFD EG neu;Empfangsgebäude,Stadthaus
AFD Freesenweg 26;Mehrfamilienhaus,FassadeZiegel,DachSchwarz
AFD Stw Ff;Stellwerk
AFD Stw Fn;Stellwerk
AFN Reiffeisen Schuppen;Industrie
Brecher;Wasserbauwerk
Bue95 Bude;Bahnbude
Bue98 Bude;Bahnbude
Drehbruecke;Brücke
